part_id,show,part_number,part_brand,subcategory,part_image,watts_power,voltage,shape,min_dimension,max_dimension,probe_length,probe_diameter,lead_length,ingress_protection,certifications,nema_rating
29845108-D19A-4FC5-894B-70C3DE243B93,,S1-02532781000,YORK UPG,,,,,,,,,,,,,
29EFB28D-03D8-4CC5-9419-9D386E3DF3DF,,HT32TC707,CARRIER,,,,,,,,,,,,,
2A2BA36A-B1A9-44CE-B12A-7122F2727A68,,8605-005,BARD,,,,,,,,,,,,,
2A315D5E-1F69-45BC-96C7-CC5C9C5C9B4D,,7651521215,GREE,,,,,,,,,,,,,
2A4DE5D9-814B-46E3-AAFC-652003D8876A,,HTR00420,TRANE,,,,,,,,,,,,,
2A6F8BCF-0B96-4CBA-8413-5487CCE5C6CD,,1111340,HEIL,,,,,,,,,,,,,
2A7ADF02-6D3D-43BF-9891-3C86F097B84C,,8733934650,BOSCH,,,,,,,,,,,,,
2A8887D3-FB15-444D-88B2-C659966FDA03,,0163R00003,GOODMAN,BAND CRANKCASE HEATER,,,,,,,,,,,,
2AF065CA-FC6F-4302-83C7-A18C243A6FC7,,HTR00098,TRANE,,,,,,,,,,,,,
2B45FE8A-CE0D-4169-8138-37C2D5C294C5,,HT32ES514,CARRIER,,,,,,,,,,,,,
2B612DD2-15A7-4A78-89C0-BF48D6D0B6E5,,44-40294-01,RHEEM,,,,,,,,,,,,,
2B6D24EE-854D-45D3-8221-E9075D0BBB23,,1950555,ARCOAIRE,,,,,,,,,,,,,
2B6FABBB-A408-4A21-836A-F1A5E144ABA0,,32001032,THERMAL ZONE,,,,,,,,,,,,,
