part_id,show,part_number,part_brand,subcategory,part_image,volume,inlet_diameter,inlet_connection_type,outlet_diameter,outlet_connection_type,direction_of_flow,desiccant_type,number_of_cores,options,rated_capacity,ingress_protection,certifications,nema_rating,note
1B8D32DC-FD4B-4ECA-9EE6-8B949E15E0B3,,50DK403636,BRYANT,,,,,,,,,,,,,,,,
1B9FA6DE-5B34-4B2E-AC41-B9A3EB0C5E92,,1915-00670-015,JCPENNEY,,,,,,,,,,,,,,,,
1BAF6503-D031-4CFE-B2D9-7AA0C5D2B6A3,,B5134702,AMANA,LIQUID LINE FILTER DRIER ,,,,,,,,,,,,,,,
1BCE7D7F-6C97-46A5-A86E-0137F2FB58C7,,P-8-9623,LENNOX,,,,,,,,,,,,,,,,
1C4BD9AD-C839-423C-97DC-F57AB46FBCA2,,67500066,FRIEDRICH,,,,,,,,,,,,,,,,
1C7B175C-AF46-4C13-AD10-9ED9FAE7851B,,65H06,LENNOX,,,,,,,,,,,,,,,,
1CA1ECD8-6326-435D-84C1-71552DEE39F2,,5200-40,WEATHERKING,,,,,,,,,,,,,,,,
1CC2B438-3B7A-49C3-813A-D30E64A4495A,,1599712,DAIKIN,,,,,,,,,,,,,,,,
1CE2E252-DF67-4D6F-8C45-8885E7253579,,30GB406434,CARRIER,,,,,,,,,,,,,,,,
1CFA3426-F08C-43C7-90CF-C59F31D05D1A,,S1-02611913000,YORK UPG,,,,,,,,,,,,,,,,
1D25D506-009C-48D4-A157-6B37F749F3E3,,5201-010,BARD,,,,,,,,,,,,,,,,
1D2DB744-018A-450C-96DA-F431251EE583,,88K44,LENNOX,,,,,,,,,,,,,,,,
1D3A3C12-BA6D-4E4D-BD10-5ED4F5D36E35,,30GB409494,CARRIER,,,,,,,,,,,,,,,,
1D7230F2-3469-4369-9BA1-C439FBC74C3C,,LB-35326CB,ALLIED,,,,,,,,,,,,,,,,
1D75DE02-FA34-4D04-BBA9-26AAD8B4A761,,9300589017,FUJITSU,,,,,,,,,,,,,,,,
1D909481-7447-46A9-976B-0B3012F16EAB,,37L52,LENNOX,,,,,,,,,,,,,,,,
1DB24599-D851-4052-B124-2390C3C15AD0,,DHY00221,AMERICAN STANDARD,,,,,,,,,,,,,,,,
1DC4F179-6733-4D64-8929-8EFB280417F5,,P504-8163S,CARRIER,,,,,,,,,,,,,,,,
1DCBBAD1-075D-401F-9ED9-E32C43D141F3,,DHY01260,TRANE,,,,,,,,,,,,,,,,
1E47B918-16DF-4DB8-A399-2AAA5865BABF,,46K4501PR,LENNOX,,,,,,,,,,,,,,,,
1E5BAEE3-D1DA-4AAD-AE36-0ED1CF606ABE,,50VT400527,CARRIER,,,,,,,,,,,,,,,,
1E80709D-478B-44E7-A6FC-604EA113A38A,,48MA412003,CARRIER,,,,,,,,,,,,,,,,
1E962BD8-AD55-42B2-BFD5-4D2FF9CD8707,,5210-84,WEATHERKING,,,,,,,,,,,,,,,,
1E9BF262-320A-4038-87F0-544627EB7C5C,,B9266369,GOODMAN,LIQUID LINE FILTER DRIER ,,,,,,,,,,,,,,,
1ECE3A2B-7D44-4BC9-A993-9DD1CADAF1F8,,322937-306,CARRIER,,,,,,,,,,,,,,,,
1EF1AB05-947F-4DE5-B986-3183FCAFB88D,,00PSG000153300,CARRIER,,,,,,,,,,,,,,,,
1EFCDEF8-53EB-4A83-867F-C30511E9B1AA,,DHY00178,AMERICAN STANDARD,,,,,,,,,,,,,,,,
1EFFA717-C9C3-4FB0-8271-77EF039DB8A8,,61415700,ARCOAIRE,,,,,,,,,,,,,,,,
1F0ABD10-11B0-4158-8595-D50A2D8AA67D,,83-40386-11,WEATHERKING,,,,,,,,,,,,,,,,
1F0C131D-2C17-4B69-8F7C-1A22A1947368,,30HK503692,CARRIER,,,,,,,,,,,,,,,,
1F25E0FF-9C9A-46C5-A269-2D1A5805AD8A,,36335,AMANA,,,,,,,,,,,,,,,,
1F312ED0-A75B-4C7A-98C3-EE996DEB9EAC,,50VT400296,CARRIER,,,,,,,,,,,,,,,,
1F64F1EA-FB81-457F-BD82-F3BC515E9259,,5239,,,,,,,,,,,,,,,,,
