part_id,show,part_number,part_brand,subcategory,part_image,rated_refrigerant,oil_type,nominal_capacity_tons,nominal_capacity_BTUH,voltage,ph,hz,run_capacitor,start_capacitor,connection_type,suction_inlet_diameter,discharge_diameter,number_of_cylinders,number_of_unloaders,crankcase_heater,protection,speed,EER,displacement,nominal_hp,nominal_power_watts,fla,lra,rpm,compressor_length,compressor_width,compressor_height,ingress_protection,certifications,nema_rating
E8454C14-1ED9-4E23-AC9C-34D19BDEB3F6,,S1-01502417001,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E84D7F0F-0D18-47F5-A537-C5DBFE791729,,78F45,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E84F4B8C-388C-4055-A0DC-F3FE1F8EAF98,,PCP01AB3400,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E851D844-57BB-4C7D-B38C-327424D8EEF7,,ZS26K4E-PFV,COPELAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E8554A40-8E9B-4CAE-AA4C-91BFBB418968,,55-101545-34S,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E855E94A-91B6-4C72-8AA5-391DBF0D823F,,501648131P35,HAMPTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E85A3F9E-99B8-4E1B-A124-123F6961AE0A,,61717120,FRIEDRICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E85A8703-6BC0-4113-B1A0-61C822E9A3C7,,2003245,MCQUAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E85EB500-2D0D-4F26-8C4F-DFBB5CE17861,,68376599,FRIEDRICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E8629B71-CFAA-4083-934E-7F238B7A49F5,,COM03989,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E8639971-A763-470C-B8C7-3285A8ADA8A1,,25M87,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E8646AD2-60E9-462F-B8F8-291925C3D6FF,,WW77X327,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
