part_id,show,part_number,part_brand,subcategory,part_image,type_of_gas,stages,capacity,outlet_orientation,reducer_bushing,inlet_size,outlet_size_type,pilot_outlet_size,factory_settings,max_inlet_pressure,min_adjustable_setting,max_adjustable_setting,terminal_type,electrical_rating,side_outlet_size_type,gas_cock_dial_markings,ambient_temperature,amp_rating,capillary_length,standard_dial,remote_dial,temperature_range,height,length,width,ingress_protection,certifications,nema_rating
0B914AC5-EE16-411B-A893-78B6D9B7E31F,,L99850-06,DESA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BB97783-E88C-4117-92C1-51FE39FABE0E,,60-22525-05,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BE12108-374B-4A6D-AE99-923F0D9CD464,,B1812282,DUCANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BFA6CFE-0F54-4AD0-9819-63EC6760F5EE,,60-20714-13,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0C059C24-35E3-4D1F-990A-93350A48649F,,1585967,HEIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0C2AC9C3-0409-4DC7-BD73-679323D81BE3,,EF33CW191,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0C2EB440-88E9-4C10-A0C2-0D9AB6AAC34F,,VAL01164,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0C338C63-D2E9-4EDF-A003-2291F2C002E1,,550002259,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0C372E7C-A958-4856-AED1-89B3DE1CF574,,EF33CW275,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0C410F28-F7F8-4C50-BC93-76A4E27A7255,,P-3-1027,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0C7385A2-B061-4834-B159-CB41678638BB,,606027,GOETTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0C9386A7-3452-454C-8122-6DF99C6DACBB,,EF33CB241,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0CB18E59-01DF-4DAD-A35E-390F6ABD4A8C,,51M94,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0CB4F75A-6DFD-4120-A7CA-B0F1215F55A7,,AS-60905-04,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0CE2A495-0D9F-443A-8233-A1A6BBFB2470,,VAL08104,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0CFC60CE-B3D9-460C-BE49-1A888D8CE5E8,,RS45390-002,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0D4A7ECD-F54D-4324-8796-FB7CB333735F,,EF53CK198,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0D8E9E33-A7FF-4C2F-B9E1-1CB3E13565BE,,VAL00788,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0DB71E4A-9BD2-440A-A57B-973EDCAA66A7,,21-0947,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0DC13CEB-04DE-4045-9C82-A9A88AA0B5EA,,VAL03358,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0DC8AAFB-ACF7-43B3-B73F-9392C3662996,,S1-2566H3031,COLEMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0DE2C530-C2E5-40A1-97B0-C569EB8C4EAB,,60-24350-01,RUUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0DE30A68-B000-41C8-B521-248EE31EF0E8,,AS-61492-0,WEATHERKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0DF9BF5A-86A7-4CCC-AD0A-E10294604FBD,,EF33CW152,PAYNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0E111FD0-3F05-4AA6-87F7-77D20E23E3EB,,J28R4980-4,STERLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0E1CEE2F-6EC0-40FA-B78B-8E9A3AD2FCCB,,33G43,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0E1EC0A0-A049-415C-BAE4-8CA236D35CD2,,VAL02506,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0E26B327-5634-4AA8-BADF-31BE6A8B7F04,,3H32877B2,MODINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0E565568-DFC5-4403-A2E4-45838DC508C9,,FCV689,AMANA,GAS VALVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0E56F4ED-739C-49E1-BCC6-FE3A2428B346,,60-21324-05,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0E5F1C8A-93D7-477F-BC58-25ECB99704FA,,5H70427C,MODINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
