part_id,show,part_number,part_brand,subcategory,part_image,diameter,number_of_blades,pitch,bore,rotation,rpm,cfm,bhp,material,ingress_protection,certifications,nema_rating
0B89CDD0-5409-4325-8D5C-8B0C417FA1AF,1,70-101323-27,RHEEM,,,,,,,,,,,,,,
0B8EC434-30CE-4F30-9B98-9F30CBA2F997,1,G504355,KELVINATOR,,,,,,,,,,,,,,
0B9A1865-D902-40BD-A998-A913243CCF44,1,22900701,CHANDLER,,,,,,,,,,,,,,
0BA12B03-B41D-4E6D-94F1-D97C09211DA3,1,1087332,HEIL,,,,,,,,,,,,,,
0BAC7FBF-0B1E-48B6-9C73-B24B008522F3,1,WJ74X105,GE,,,,,,,,,,,,,,
0BB05AC6-B2E3-4AA5-9B49-F929E1A0CFDD,1,60905,LENNOX,,,,,,,,,,,,,,
0BBE955B-0BBF-43CD-B0B7-5DB50E04CDCD,1,10625719,GOODMAN,CONDENSER FAN BLADE,,,,,,,,,,,,,
0BD0386F-AFE8-4681-A9B8-85B78E6EB298,1,10335010,GREE,,,,,,,,,,,,,,
0BDB6A7F-0DBE-4852-B7D7-84811E81F509,1,DB67-00139A,FRIEDRICH,,,,,,,,,,,,,,
0BE6EB1D-C93B-4248-8510-CA04FFABD530,1,B1086763,GOODMAN,CONDENSER FAN BLADE,,,,,,,,,,,,,
0C2C4AC2-658C-4E38-81EE-8A9838EAB603,1,FAN03658,AMERICAN STANDARD,,,,,,,,,,,,,,
0C2CCDCF-586D-4207-9A50-4F321D418F59,1,1068557,HEIL,,,,,,,,,,,,,,
0C30B4A7-EF5A-4498-9AB4-B4AC8CB3271F,1,5151-216,HEAT CONTROLLER,,,,,,,,,,,,,,
0C3A5E8B-D87A-4B26-9810-2AF17809651B,1,997904,WHIRLPOOL,,,,,,,,,,,,,,
0C5A5990-21C1-4238-88F0-E3D7FF7FC701,1,S1-02638028000,YORK UPG,,,,,,,,,,,,,,
0C645369-D269-4F91-B475-6A712675F815,1,S1-02621912000,YORK UPG,,,,,,,,,,,,,,
0C802499-7648-487B-82B7-C7F16ECAD7F9,1,70-26166-02,RUUD,,,,,,,,,,,,,,
0C865EB1-7AE6-4382-8F48-75C3D8EB8FAC,1,70-102345-01,RHEEM,,,,,,,,,,,,,,
0C8F0AB4-6DDB-4A52-9CE6-FD3D69F7C57E,1,G139468,GIBSON,,,,,,,,,,,,,,
0C997DC8-36CD-46EC-9B29-F70FF54D8691,1,C5939402,AMANA,CONDENSER FAN BLADE,,,,,,,,,,,,,
0C9BDF0E-D6DB-4AC0-A29E-94F92432755A,1,607409,HEIL,,,,,,,,,,,,,,
0CB401F5-121C-4BCE-9ACA-FBFD203A3613,1,10333502,GREE,,,,,,,,,,,,,,
0CBC9271-3353-4498-9ACA-E1D8B096883F,1,2325317,ICP,,,,,,,,,,,,,,
0CC36715-9F89-49A1-A1B7-8A25C4CD4B18,1,28270,BALLY,,,,,,,,,,,,,,
0CD18A5E-3B47-432B-8616-F58737339783,1,0637010A,CARRIER,,,,,,,,,,,,,,
0CDEEED3-D3D1-46A0-9814-2B60F6CA9902,1,WW73X49,TRANE,,,,,,,,,,,,,,
0D0B33AA-4AFC-40B6-B9E5-802FA37AE54E,1,1043870-006,TRENTON,,,,,,,,,,,,,,
0D0CC13E-591B-42BF-A1E0-E6CD265787AA,1,BLD00167,TRANE,,,,,,,,,,,,,,
0D0FB4CD-9923-4F10-83A4-A385604776A0,1,WJ74X91,HOTPOINT,,,,,,,,,,,,,,
0D13F9F5-5DA2-4AF1-AAA7-8F6DF71B31E5,1,S1-02631362000,YORK UPG,,,,,,,,,,,,,,
0D14B477-E10A-4B66-9434-B02EDA4EDA12,1,5101B,BOHN,,,,,,,,,,,,,,
0D40286F-1C65-452E-B6F4-9956BB195D8C,1,1066557,HEIL,,,,,,,,,,,,,,
0D6179BA-ED47-4F8F-9DE8-B944B9947DB1,1,BLD00088,TRANE,,,,,,,,,,,,,,
0D8B724E-8E92-4502-8D27-DF347344E779,1,1058869,ZONEAIRE,,,,,,,,,,,,,,
0D90EE46-DFBA-48E9-ACDF-6E600FF543FF,1,WW73X79,TRANE,,,,,,,,,,,,,,
0D96DADD-DFED-48F5-A7D3-9052910F343B,1,B1086759,GOODMAN,CONDENSER FAN BLADE,,,,,,,,,,,,,
0DB85C0F-36B6-4E06-9759-74CFD2243C98,1,LA01AD037,CARRIER,,,,,,,,,,,,,,
0DE1ADF6-4270-463F-BA8E-22ED26126696,1,10625708,GOODMAN,CONDENSER FAN BLADE,,,,,,,,,,,,,
0DE1F495-D25D-4486-91BA-76DE8EA7CE98,1,S1-02632019000,YORK UPG,,,,,,,,,,,,,,
0DE9A7AC-B2F3-442B-96F1-37815E9D68E1,1,1056001,SEARS,,,,,,,,,,,,,,
0E1E5A30-14E3-411B-838D-7E0B041D937C,1,22901601,CLIMATEMASTER,,,,,,,,,,,,,,
0E24F7FB-9B8C-4E72-8A8A-CC9935D017AE,1,WJ73X91,HOTPOINT,,,,,,,,,,,,,,
0E2A0107-7149-46CB-A0BE-A5C09834BFA1,1,Y3953,LENNOX,,,,,,,,,,,,,,
0E304560-D18A-4395-A9F1-E4208931D7C7,1,FAN02788,TRANE,,,,,,,,,,,,,,
0E4468D1-D59C-413C-955C-646DF00866BF,1,WJ73X147,GE,,,,,,,,,,,,,,
0E47DDFA-F981-4EE9-9B4B-099AAD7A3471,1,BLADE FAN,RHEEM,,,,,,,,,,,,,,
0E7C1FEB-C010-4852-B35A-BE1DFA539BF2,1,5110E,LARKIN,,,,,,,,,,,,,,
0EB90A61-AC55-46F2-9E5B-746C8E011B9B,1,117154-5,SOLARONICS,,,,,,,,,,,,,,
0ECD1904-389E-4FD1-89CF-E5107C391E55,1,B1908110,GOODMAN,,,,,,,,,,,,,,
0ED8639F-3165-4386-BE42-D0DF1C029994,1,FAN02619,TRANE,,,,,,,,,,,,,,
0EEEA530-3671-4547-A944-CB996435E0A3,1,1080799,HEIL,,,,,,,,,,,,,,
0F0887BA-CF66-4451-AA01-442F7A459BB4,1,70-102011-05,THERMAL ZONE,,,,,,,,,,,,,,
0F252504-0C93-424C-BC79-00853788C3D1,1,5481,GE,,,,,,,,,,,,,,
0F32BADE-DCB7-451D-B268-E269270BEC27,1,S1-6348H3521,COLEMAN,,,,,,,,,,,,,,
