part_id,show,part_number,part_brand,subcategory,part_image,application,gas_type,voltage,terminal_TYPE,mounting,tip_style,ceramic_block,pilot_btu,orifice_diameter,pilot_tube_length,lead_length,sensor_type,steady_current,temp_rating,time_to_temp,amperage,cold_resistance,max_current,compression_fitting_diameter,probe_length,rod_angle,length,height,width,ingress_protection,certifications,nema_rating
1A42C866-5030-496A-8C37-30DFF90D9C62,,J38002910,HEIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A739CEA-B1CD-47EF-8E52-CC2EA7559402,,M-7612,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A750F5A-FA23-4C26-9ED5-BBD995659E95,,44F71,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1AA63A8B-9212-48CA-B63E-95A40B328CF7,,PLT1018,LOCHINVAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1AB43D87-1F94-4BA0-9638-34345CFCB7D4,,904227,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1B2A88FC-E54F-4608-A22B-7543A058C502,,62-24141-04,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1B99AD57-9F54-441B-84FF-F407D1B90666,,C040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1BA1BCE5-4011-40F5-A92E-CB694629895E,,87081080400,BOSCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1BA1F52E-A31C-474D-9A3F-034D9083D2B4,,R2224,EMPIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1BC25B54-351A-4333-8A52-60137F96C40D,,1401000S,GOODMAN,STANDING PILOT IGNIGHTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1BCED0E4-77E1-4C1D-8E17-471EB39671D5,,18G23,ALLIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1C03820D-816E-4C0F-B43F-E8F9A95C47A2,,P-3-977,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1C222495-929F-4C68-B4AF-67319B890281,,146-62-92,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1C272AA8-5D24-4B1F-858B-318CDED9B51A,,5H71938A4,MODINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1C895FB7-D5F6-4A1B-A5A5-3DE10283CCC4,,PLT1124,LOCHINVAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1CCC1C84-97F1-47FA-907E-030778B82006,,J38034210,HEIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1CE95B27-7618-4651-ACB1-4EDC708FA23D,,R775N,EMPIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D2638F6-3397-4C6A-8585-71766A45C1CF,,80M29-01,DUCANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D3F404C-051F-4606-815E-558A92127E78,,S1-02531801000,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D785A0D-9F7F-4616-97A9-ABD426DC7C20,,80M29,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1DB00417-9F16-4233-B826-567486E8B030,,LH31CM025,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1DI77NU87J717OH2BASUN3L9D73TT2XV5FP3,,660203,NORDYNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1E1A5455-6692-4741-BC71-22AE02631B10,,WW37X23,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
