part_id,show,part_number,part_brand,subcategory,part_image,rated_refrigerant,nominal_capacity,inlet_diameter,inlet_connection_type,outlet_diameter,outlet_connection_type,equalizer,external_equalizer_connection,bidirectional,adjustable,configuration,supply_voltage,motor_type,control_steps,step_rate,orfice_size,capillary_tube_length,number_of_headers,spring_type,check_valve,hermetic,balanced_port,applications,element_size,body_type,thermostatic_charge,mesh_strainer,max_operating_pressures,max_differential_pressure_drop,ambient_temperature,refrigerant_temperature,current,drive_frequency,phase_resistance,compatible_oils,cable_type,max_power_input,step_angle,resolution,connections,closing_steps,minimum_steps,hold_current,percent_duty,stroke,max_internal_leakage,max_external_leakage,ingress_protection,certifications,nema_rating
01DCA6C8-CD3B-4BCB-BF5B-A5F8EEAA4A2F,,E02285936,MITSUBISHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01DF6DD5-2B38-487D-820B-F26E654F475B,,S1-00706779000,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01E0D5C8-9364-41FE-9112-7822ACE8FEA4,,EA52PH049,PAYNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01E3BBE6-08FA-40E3-A92A-6E0A7E9B997C,,5651-090,BARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01F322D9-E5C4-47B0-A064-E5DE6B1F0917,,EA36DC410,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01F56F39-B514-401F-88A4-4EA11C3C3213,,1060674,SEARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01F9AACC-DCDE-49CB-BCA0-58033436AEA5,,1183311,HEIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01F9EC57-0766-4EE4-8DAE-0FC101C4B38C,,E17519640,MITSUBISHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01FFF289-9FD4-48EC-8F2E-15F336EFCA8C,,B1360904,AMANA,LP ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02024F1B-3E83-413E-942A-2A29D5C1D1CB,,67500104,FRIEDRICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0204C930-3291-4C5E-A96E-0C5397A14FD0,,0162M00312,GOODMAN,PISTON ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
