part_id,show,part_number,part_brand,subcategory,part_image,fused,ingress_protection,certifications,nema_rating
02C1E665-97CF-4297-A6C6-B13A8AA591D3,,HK36AA001,CARRIER,,,,,,
02C4179D-BD45-423C-9D6A-0A51A9D4D03C,,30GT410046,CARRIER,,,,,,
02C9CE60-A125-479F-878B-F2CB434EF084,,HK30AA064,CARRIER,,,,,,
02CAF991-51CD-4DB6-BB36-3B68057A6374,,30GT410988,CARRIER,,,,,,
02CAFB4F-CE93-45D3-9965-DCA722D8B832,,854235,WHIRLPOOL,,,,,,
02CB5F37-5087-48FA-83DC-614148B0D781,,47-102738-150,RHEEM,,,,,,
02CF5F58-81F2-4FEA-9287-6E4253E3EA55,,30GT415861,CARRIER,,,,,,
02CFED4D-0096-4389-91F3-04EB29EADE16,,RC-229-513,RINNAI,,,,,,
02DD3CED-A376-4609-95E8-89E5C8ED7DF8,,P-8-9277,LENNOX,,,,,,
02DEC1C4-C36B-479A-A192-4FBF373FB257,,0600400604,CARRIER,,,,,,
02E700EB-35A4-4E73-BA14-4A347216C7B0,,0130A00033,GOODMAN,COMMUNICATION BOARD,,,,,
02E71BA5-B504-4810-B07D-D11256B3B005,,CRL0WAMB009A00,CARRIER,,,,,,
02F1879D-22A6-485C-B8B9-998FBC4E7698,,30226338,SEA BREEZE,,,,,,
02F3871F-B309-4205-B17B-85C45C3D996C,,1000167,SEARS,,,,,,
02FBF443-1320-4FD9-A1CC-3707792D1A95,,201330790858,CARRIER,,,,,,
02FC89D8-823C-43C5-8377-D53B64FDC167,,MC2379A6,NORDYNE,,,,,,
02FDDB51-DE33-408A-AB1F-E806755D008D,,32GB500422,CARRIER,,,,,,
030029EE-84DC-470C-9E41-564D14CAFF45,,47-102738-65,RHEEM,,,,,,
03012D30-16DF-450E-B853-4D72E35736DF,,1149628,HEIL,,,,,,
03025F8B-7B69-46D3-AF4D-9090B7112E24,,C8107-16-3B,BARD,,,,,,
03032334-5A7E-4996-B209-E82CAC10EBEC,,38AK401056,CARRIER,,,,,,
0309A584-3E8F-47F2-A9D0-42DB589C34EB,,9709221440,FUJITSU,,,,,,
030A2732-70D2-45A2-A128-27853F936682,,5H75506-1,MODINE,,,,,,
030CB907-7314-4586-8A54-BF011C6A4F04,,0600400952,CARRIER,,,,,,
030D9182-AB1E-4BF1-8639-5747339309B2,,0130F00564,DAIKIN,,,,,,
030FAD05-983C-4AC4-935B-A92BCFE54228,,38AP404709,CARRIER,,,,,,
0314BC2E-A1B7-4816-8C43-4B90431D701D,,48NGFLRLA-A020A,CARRIER,,,,,,
03162088-1520-45B7-9DFA-5333DA55EEEC,,AE-58385-25,RHEEM,,,,,,
03178E9F-C599-4897-B985-003CAAB54648,,50NP400607,CARRIER,,,,,,
031E9A2D-CD5F-4B07-B5F7-35CD8B7B4FD0,,17122000A23391,CARRIER,,,,,,
0324EBD4-30E2-4952-988F-32EFCDAD2AEB,,30GU400444,CARRIER,,,,,,
032C1447-9C87-4B68-BBC3-E42B91B2F9FA,,102151-01,LENNOX,,,,,,
0331F7C7-F828-4E90-B522-17844FC421AE,,00EFN500145534A,CARRIER,,,,,,
03366280-8EE0-4457-9B23-7EEBC989628C,,103064-01,LENNOX,,,,,,
03368B3B-50DA-4480-A8DE-00DC56CF3CE3,,30GX403966,CARRIER,ECM MODULE,,,,,
03370F22-007A-45B3-BAEC-E2F1EAA4BA94,,01349414P,AIRWELL,,,,,,
033739AF-4CFC-4F32-BA6C-39926C5585AE,,B4370889,CARRIER,,,,,,
0339D876-2D53-4922-BE04-8C5CF584EE0D,,HK30WA016,CARRIER,,,,,,
033A24A7-F4B7-49C8-9D99-FEB8D5D322EC,,6231291071,SANYO,,,,,,
033B85E5-38ED-41D1-9032-94020064FDD6,,CPN00636,TRANE,,,,,,
0343223A-0EB4-4A9E-A94C-67F61CE1B9EF,,42KN8B58010,CARRIER,,,,,,
034904D6-9318-49F2-953D-F83BBA98BBFF,,1175221,HEIL,,,,,,
034AC71E-47CA-494A-AF8A-229E09F7211C,,9709221013,FUJITSU,,,,,,
034FD181-8ADB-4510-9017-646CE4A043B9,,MOD00817,TRANE,,,,,,
0359B218-FDD2-4BAF-B2DB-08A5587AB240,,00EFN500145615A,CARRIER,,,,,,
035CD30A-8771-4A2B-BBBD-769E664C3F28,,BRD01688,TRANE,,,,,,
035EA056-1FD0-4A6B-8C0F-D5DE4DF05D40,,30GX406679,CARRIER,ECM MODULE,,,,,
036A7735-5437-4A59-85F7-0E88C0398396,,43T6V778,CARRIER,,,,,,
03744A40-DE81-4989-B029-1661C56C864C,,207413,HEAT CONTROLLER,,,,,,
037501A2-8E0C-474D-82F0-5ED84918698C,,48TMFSRSDLL601,CARRIER,,,,,,
0376414B-0E49-432B-A38E-59E8610DBDCD,,S1-DL30568112,YORK UPG,,,,,,
037B95E9-0546-404D-83A8-9C9B24749E20,,S1-03101910000,YORK UPG,,,,,,
037EEDBF-6953-4598-8CE9-15823865EA7C,,21-0870,LUX,,,,,,
03865A61-69E9-423B-8E53-BC4400587F5B,,38AQ680047,CARRIER,,,,,,
03888ABE-9089-4D88-8D7D-526E87F2A0A1,,0060400271,CARRIER,,,,,,
0389D33F-9084-4DB3-B0FA-5AA410E32180,,38AP404448,CARRIER,,,,,,
03948F95-5C39-4281-A73B-BD898D5A0CDD,,D6830402,AMANA,IGNITION CONTROL BOARD,,,,,
03974DDB-5963-4D0C-9AE5-6D8C2B845D05,,9708713229,FUJITSU,,,,,,
039912E6-6F5E-4863-AB8D-0AC19C3BAF90,,00EFN500135113A,CARRIER,,,,,,
039A137C-FCDB-4A1D-974E-5DE7288FE408,,B1809906,GOODMAN,MAIN CONTROL BOARD,,,,,
039BC12E-1EA3-4956-9832-46792BA9A72E,,2436807,DAIKIN,,,,,,
039E0BC7-9D4D-4230-A7F0-9E0DC9092410,,R611A9281,MITSUBISHI,,,,,,
03A2688D-73FB-4CEA-8AE4-C761C2833F3B,,E12A58452,MITSUBISHI,,,,,,
03A4373F-3939-4CB5-8EA6-1529693C4954,,647886,WHIRLPOOL,,,,,,
03AC7480-53F8-4D29-891E-08A63E0784F6,,6871A30009C,HEIL,,,,,,
03AE6225-1435-47CD-9772-6ECEEBCC0A8E,,BRD00978,TRANE,,,,,,
03B7459E-FBEE-407A-8D6F-B0BF9F87BDDD,,00EFN400135108A,CARRIER,,,,,,
03BB9E0F-5A70-4FD1-B9FF-C3CCEECA2D75,,201321590004,SEA BREEZE,,,,,,
03BC1BDF-A665-4A20-8CA7-5D0F743ED6C4,,0130F00359,GOODMAN,,,,,,
03C7FF5A-AB32-4DD9-A44A-F0A6FC2A7301,,30GX404157,CARRIER,ECM MODULE,,,,,
03CF2FF6-7590-4EF5-9D0A-E03C24F50C0E,,LB-61738A,LENNOX,,,,,,
03CFB3A9-860D-46A4-9C62-FCD59F9102F3,,38AP404730,CARRIER,,,,,,
03D0BC6F-8363-4AE7-BAE7-B1DC1575D507,,S1-02432013000,YORK UPG,,,,,,
03D23E39-8246-4AB6-9F82-8139E49AECC1,,61921102,FRIEDRICH,,,,,,
03D5B0C7-DC9F-4F76-9CE6-D8A9D312F8DB,,PCBKF103,GOODMAN,MAIN CONTROL BOARD,,,,,
03D602B2-420C-4E41-9B0D-CA854CF24191,,910-1099,BARD,,,,,,
03D7E1C6-0137-481A-8AA9-B2E88452FB00,,HK30AA162,CARRIER,,,,,,
03DB308D-BD4C-4844-BD98-644841C8FAF9,,CAM0T0R3001A0,CARRIER,,,,,,
